date,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2015-07-31,0.238,0.246,0.253,0.226,2052726,199652294.0,10.93,-0.4,-0.001,0.94
2015-08-31,0.249,0.232,0.253,0.197,482404,46407728.0,22.76,-5.69,-0.014,0.22
2015-09-30,0.229,0.22,0.238,0.217,211086,19387249.0,9.05,-5.17,-0.012,0.1
2015-10-30,0.239,0.249,0.25,0.23,158748,15221471.0,9.09,13.18,0.029,0.07
2015-11-30,0.247,0.25,0.252,0.24,170579,17036063.0,4.82,0.4,0.001,0.08
2015-12-31,0.25,0.252,0.255,0.244,118174,11831768.0,4.4,0.8,0.002,0.05
2016-01-29,0.253,0.23,0.253,0.225,86747,8130862.0,11.11,-8.73,-0.022,0.04
2016-02-29,0.23,0.228,0.237,0.223,18367,1680232.0,6.09,-0.87,-0.002,0.01
2016-03-31,0.229,0.237,0.24,0.228,42142,3972624.0,5.26,3.95,0.009,0.02
2016-04-29,0.238,0.237,0.247,0.235,39825,3832511.0,5.06,0.0,0.0,0.02
2016-05-31,0.238,0.245,0.245,0.231,23012,2189134.0,5.91,3.38,0.008,0.01
2016-06-30,0.238,0.242,0.253,0.234,27210,2646829.0,7.76,-1.22,-0.003,0.01
2016-07-29,0.245,0.259,0.26,0.238,123527,12523845.0,9.09,7.02,0.017,0.06
2016-08-31,0.259,0.264,0.271,0.245,90295,9466198.0,10.04,1.93,0.005,0.04
2016-09-30,0.264,0.268,0.276,0.257,54627,5813990.0,7.2,1.52,0.004,0.02
2016-10-31,0.27,0.272,0.281,0.267,39935,4346744.0,5.22,1.49,0.004,0.02
2016-11-30,0.273,0.288,0.295,0.259,70876,7793840.0,13.24,5.88,0.016,0.03
2016-12-30,0.286,0.315,0.33,0.273,460236,53142600.0,19.79,9.38,0.027,0.21
2017-01-26,0.306,0.316,0.323,0.293,96910,11880976.0,9.52,0.32,0.001,0.04
2017-02-28,0.316,0.324,0.329,0.305,124623,15939818.0,7.59,2.53,0.008,0.06
2017-03-31,0.325,0.322,0.345,0.316,180718,23437415.0,8.95,-0.62,-0.002,0.08
2017-04-28,0.323,0.328,0.337,0.304,61881,7906613.0,10.25,1.86,0.006,0.03
2017-05-31,0.342,0.33,0.358,0.317,148441,19280640.0,12.5,0.61,0.002,0.07
2017-06-30,0.329,0.316,0.336,0.315,85160,11095153.0,6.36,-4.24,-0.014,0.04
2017-07-31,0.315,0.326,0.329,0.311,172449,22111601.0,5.7,3.16,0.01,0.08
2017-08-31,0.324,0.321,0.329,0.316,38625,4964251.0,3.99,-1.53,-0.005,0.02
2017-09-29,0.323,0.321,0.326,0.314,27079,3456813.0,3.74,0.0,0.0,0.01
2017-10-31,0.328,0.341,0.344,0.323,70167,9249047.0,6.54,6.23,0.02,0.03
2017-11-30,0.341,0.345,0.357,0.339,33218,4576927.0,5.28,1.17,0.004,0.02
2017-12-29,0.346,0.347,0.354,0.336,32192,4470027.0,5.22,0.58,0.002,0.01
2018-01-31,0.354,0.363,0.371,0.345,39002,5600355.0,7.49,4.61,0.016,0.02
2018-02-28,0.363,0.358,0.369,0.318,50107,6801546.0,14.05,-1.38,-0.005,0.02
2018-03-30,0.355,0.341,0.387,0.334,27103,3879649.0,14.8,-4.75,-0.017,0.01
2018-04-27,0.342,0.343,0.372,0.33,20031,2764199.0,12.32,0.59,0.002,0.01
2018-05-31,0.343,0.369,0.38,0.342,45714,6541151.0,11.08,7.58,0.026,0.02
2018-06-29,0.373,0.391,0.412,0.368,21361,3297636.0,11.92,5.96,0.022,0.01
